1,1,BMW,X5,2020,20000,0,200,0,-1
1,2,BMW,X5,2021,25000,0,250,0,-1
1,3,BMW,X5,2022,30000,0,300,0,-1
1,4,BMW,X5,2023,35000,0,350,0,-1
2,1,Mercedes,C-Class,2020,20000,0,200,0,-1
2,2,Mercedes,C-Class,2021,25000,0,250,0,-1
2,3,Mercedes,C-Class,2022,30000,0,300,0,-1
2,4,Mercedes,C-Class,2023,35000,0,350,0,-1
3,1,Audi,A4,2020,20000,0,200,0,-1
3,2,Audi,A4,2021,25000,0,250,0,-1
3,3,Audi,A4,2022,30000,0,300,0,-1
3,4,Audi,A4,2023,35000,0,350,0,-1
4,1,Toyota,Camry,2020,20000,0,200,0,-1
4,2,Toyota,Camry,2021,25000,0,250,0,-1
4,3,Toyota,Camry,2022,30000,0,300,0,-1
4,4,Toyota,Camry,2023,35000,0,350,0,-1
5,1,Honda,Civic,2020,20000,0,200,0,-1
5,2,Honda,Civic,2021,25000,0,250,0,-1
5,3,Honda,Civic,2022,30000,0,300,0,-1
5,4,Honda,Civic,2023,35000,0,350,0,-1
6,1,Ford,Mustang,2020,20000,0,200,0,-1
6,2,Ford,Mustang,2021,25000,0,250,0,-1
6,3,Ford,Mustang,2022,30000,0,300,0,-1
6,4,Ford,Mustang,2023,35000,0,350,0,-1
7,1,Tesla,Model S,2020,20000,0,200,0,-1
7,2,Tesla,Model S,2021,25000,0,250,0,-1
7,3,Tesla,Model S,2022,30000,0,300,0,-1
7,4,Tesla,Model S,2023,35000,0,350,0,-1
8,1,Nissan,Altima,2020,20000,0,200,0,-1
8,2,Nissan,Altima,2021,25000,0,250,0,-1
8,3,Nissan,Altima,2022,30000,0,300,0,-1
8,4,Nissan,Altima,2023,35000,0,350,0,-1
9,1,Ferrari,Spider,2020,20000,0,200,0,-1
9,2,Ferrari,Spider,2021,25000,0,250,0,-1
9,3,Ferrari,Spider,2022,30000,0,300,0,-1
9,4,Ferrari,Spider,2023,35000,0,350,0,-1
10,1,Porsche,911,2020,20000,0,200,0,-1
10,2,Porsche,911,2021,25000,0,250,0,-1
10,3,Porsche,911,2022,30000,0,300,0,-1
10,4,Porsche,911,2023,35000,0,350,0,-1
